time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_inflow,canal_1_outflow,gate_2_opening,gate_2_outflow,canal_2_water_level,canal_2_inflow,canal_2_outflow
3660,10.0,11.081515866873533,0,0.0,0.5,11.081515866873533,8.435270223209224,11.081515866873533,11.081514560515503,0.5,6.112634614158257,7.953094298014466,6.112634614158257,6.720260357123351
3670,10.0,11.081515820614978,0,0.0,0.5,11.081515820614978,8.435270231696332,11.081515820614978,11.081514971904197,0.5,6.151517477448381,7.9473677976528325,6.151517477448381,6.72416751361167
3680,10.0,11.081515790561859,0,0.0,0.5,11.081515790561859,8.435270235806058,11.081515790561859,11.08151537958923,0.5,6.187938537692917,7.942043280505713,6.187938537692917,6.7203902524048775
3690,10.0,11.08151577600919,0,0.0,0.5,11.08151577600919,8.43527023581997,11.08151577600919,11.081515774617944,0.5,6.221611644346098,7.93717714375799,6.221611644346098,6.708225319118395
3700,10.0,11.081515775959925,0,0.0,0.5,11.081515775959925,8.435270232088655,11.081515775959925,11.081516149091428,0.5,6.252227248924228,7.93282981458417,6.252227248924228,6.686960166306212
3710,10.0,11.081515789172633,0,0.0,0.5,11.081515789172633,8.435270225017844,11.081515789172633,11.081516496253796,0.5,6.279452476994687,7.929061173173134,6.279452476994687,6.656316618098207
3720,10.0,11.0815158142106,0,0.0,0.5,11.0815158142106,8.43527021505447,11.0815158142106,11.081516810547964,0.5,6.302958480495264,7.925927706970631,6.302958480495264,6.616305100745623
3730,10.0,11.081515849491225,0,0.0,0.5,11.081515849491225,8.435270202672987,11.081515849491225,11.081517087639543,0.5,6.322436165175643,7.923480291775874,6.322436165175643,6.567177684651376
3740,10.0,11.08151589333445,0,0.0,0.5,11.08151589333445,8.435270188362221,11.08151589333445,11.081517324411005,0.5,6.337607678303896,7.92176232893645,6.337607678303896,6.509403962246338
3750,10.0,11.081515944009325,0,0.0,0.5,11.081515944009325,8.435270172613027,11.081515944009325,11.08151751892871,0.5,6.348235626671223,7.920808221880179,6.348235626671223,6.443646332298259
3760,10.0,11.081515999777722,0,0.0,0.5,11.081515999777722,8.435270155906945,11.081515999777722,11.08151767038586,0.5,6.354130356108584,7.92064220552063,6.354130356108584,6.370731992063514
3770,10.0,11.081516058934488,0,0.0,0.5,11.081516058934488,8.435270138706043,11.081516058934488,11.081517779024644,0.5,6.3551554030087445,7.921277528536128,6.3551554030087445,6.291623101458976
3780,10.0,11.081516119843428,0,0.0,0.5,11.081516119843428,8.435270121444066,11.081516119843428,11.08151784604113,0.5,6.351231273651987,7.922715971816937,6.351231273651987,6.207386945571053
3790,10.0,11.081516180968634,0,0.0,0.5,11.081516180968634,8.435270104518988,11.081516180968634,11.081517873476486,0.5,6.3423377657183275,7.924947679114314,6.3423377657183275,6.119167035980685
3800,10.0,11.081516240900873,0,0.0,0.5,11.081516240900873,8.435270088287016,11.081516240900873,11.081517864098183,0.5,6.328515044769482,7.92795127686943,6.328515044769482,6.028155269257876
3810,10.0,11.0815162983788,0,0.0,0.5,11.0815162983788,8.435270073058057,11.0815162983788,11.08151782127475,0.5,6.309863637582308,7.931694263787974,6.309863637582308,5.935564945727865
3820,10.0,11.081516352305028,0,0.0,0.5,11.081516352305028,8.435270059092632,11.081516352305028,11.081517748847494,0.5,6.28654343940369,7.936133652527033,6.28654343940369,5.842604565497732
3830,10.0,11.081516401757037,0,0.0,0.5,11.081516401757037,8.435270046600179,11.081516401757037,11.081517651002413,0.5,6.258771781017461,7.941216844080679,6.258771781017461,5.750452625652873
3840,10.0,11.08151644599321,0,0.0,0.5,11.08151644599321,8.43527003573866,11.08151644599321,11.08151753214521,0.5,6.226820575648401,7.946882710439569,6.226820575648401,5.660233939759395
3850,10.0,11.081516484454193,0,0.0,0.5,11.081516484454193,8.435270026615381,11.081516484454193,11.081517396782035,0.5,6.191012564474226,7.953062854342053,6.191012564474226,5.572998174225813
3860,10.0,11.08151651676001,0,0.0,0.5,11.08151651676001,8.4352700192889,11.08151651676001,11.081517249408169,0.5,6.151716695771072,7.9596830081566745,6.151716695771072,5.489701314308967
3870,10.0,11.081516542703309,0,0.0,0.5,11.081516542703309,8.435270013771868,11.081516542703309,11.081517094406559,0.5,6.109342697924254,7.96666452852977,6.109342697924254,5.411190660614703
3880,10.0,11.081516562239296,0,0.0,0.5,11.081516562239296,8.435270010034685,11.081516562239296,11.081516935957678,0.5,6.064334933733933,7.973925940209599,6.064334933733933,5.338193765750938
3890,10.0,11.081516575472778,0,0.0,0.5,11.081516575472778,8.435270008009796,11.081516575472778,11.081516777961708,0.5,6.017165648456046,7.981384481679554,6.017165648456046,5.271311501460559
3900,10.0,11.081516582642973,0,0.0,0.5,11.081516582642973,8.435270007596488,11.081516582642973,11.081516623973894,0.5,5.968327745186331,7.988957606777746,5.968327745186331,5.211015235367081
3910,10.0,11.081516584106511,0,0.0,0.5,11.081516584106511,8.43527000866602,11.081516584106511,11.08151647715327,0.5,5.9183272383496766,7.996564400045929,5.9183272383496766,5.157647911531433
3920,10.0,11.081516580319265,0,0.0,0.5,11.081516580319265,8.435270011066963,11.081516580319265,11.081516340224873,0.5,5.867675549391835,8.004126868787283,5.867675549391835,5.1114286752564055
3930,10.0,11.081516571817447,0,0.0,0.5,11.081516571817447,8.435270014630587,11.081516571817447,11.081516215455009,0.5,5.816881818103451,8.011571081374832,5.816881818103451,5.0724605593485945
3940,10.0,11.081516559198542,0,0.0,0.5,11.081516559198542,8.435270019176182,11.081516559198542,11.081516104639169,0.5,5.7664454075842855,8.018828128890249,5.7664454075842855,5.040740656042554
3950,10.0,11.08151654310245,0,0.0,0.5,11.08151654310245,8.435270024516191,11.08151654310245,11.081516009101584,0.5,5.716848779592123,8.02583489530427,5.716848779592123,5.016172138190132
3960,10.0,11.081516524193308,0,0.0,0.5,11.081516524193308,8.435270030461067,11.081516524193308,11.081515929705589,0.5,5.66855090892774,8.032534629706243,5.66855090892774,4.998577468730452
3970,10.0,11.081516503142312,0,0.0,0.5,11.081516503142312,8.435270036823756,11.081516503142312,11.081515866873533,0.5,5.621981390095703,8.038877322093931,5.621981390095703,4.98771215132684
3980,10.0,11.081516480611834,0,0.0,0.5,11.081516480611834,8.435270043423724,11.081516480611834,11.081515820614978,0.5,5.5775353669844305,8.044819891500532,5.5775353669844305,4.983278426324353
3990,10.0,11.081516457241136,0,0.0,0.5,11.081516457241136,8.435270050090518,11.081516457241136,11.081515790561859,0.5,5.535569387709094,8.050326201384713,5.535569387709094,4.98493839929099
4000,10.0,11.08151643363381,0,0.0,0.5,11.08151643363381,8.435270056666763,11.08151643363381,11.08151577600919,0.5,5.496398253632576,8.055366921971867,5.496398253632576,4.992326194917236
4010,10.0,11.081516410347117,0,0.0,0.5,11.081516410347117,8.435270063010634,11.081516410347117,11.081515775959925,0.5,5.460292895873118,8.059919262476775,5.460292895873118,5.005058845382278
4020,10.0,11.08151638788327,0,0.0,0.5,11.08151638788327,8.43527006899774,11.08151638788327,11.081515789172633,0.5,5.427479276401275,8.063966603723529,5.427479276401275,5.022745151725903
4030,10.0,11.081516366682736,0,0.0,0.5,11.081516366682736,8.435270074522462,11.081516366682736,11.0815158142106,0.5,5.398138233530176,8.067498058258872,5.398138233530176,5.044992779995857
4040,10.0,11.081516347119521,0,0.0,0.5,11.081516347119521,8.435270079498745,11.081516347119521,11.081515849491225,0.5,5.372406185956643,8.070507982213883,5.372406185956643,5.071413790455483
4050,10.0,11.081516329498347,0,0.0,0.5,11.081516329498347,8.435270083860383,11.081516329498347,11.08151589333445,0.5,5.350376597700139,8.072995460266059,5.350376597700139,5.101628792482515
4060,10.0,11.08151631405365,0,0.0,0.5,11.08151631405365,8.435270087560825,11.08151631405365,11.081515944009325,0.5,5.332102094867772,8.074963782133432,5.332102094867772,5.135269908130378
4070,10.0,11.081516300950264,0,0.0,0.5,11.081516300950264,8.435270090572551,11.081516300950264,11.081515999777722,0.5,5.317597115831743,8.076419926161227,5.317597115831743,5.171982713052152
