time,setpoint,water_level,pump_inflow,valve_outflow,disturbance
339.0,10.0,10.0001,1.0,0,1.0
340.0,10.0,10.0001,1.0,0,1.0
341.0,10.0,10.0001,1.0,0,1.0
342.0,10.0,10.0001,1.0,0,1.0
343.0,10.0,10.0001,1.0,0,1.0
344.0,10.0,10.0001,1.0,0,1.0
345.0,10.0,10.0001,1.0,0,1.0
346.0,10.0,10.0001,1.0,0,1.0
347.0,10.0,10.0001,1.0,0,1.0
348.0,10.0,10.0001,1.0,0,1.0
349.0,10.0,10.0,1.0,0,1.0
350.0,10.0,10.0,1.0,0,1.0
351.0,10.0,10.0,1.0,0,1.0
352.0,10.0,10.0,1.0,0,1.0
353.0,10.0,10.0,1.0,0,1.0
354.0,10.0,10.0,1.0,0,1.0
355.0,10.0,10.0,1.0,0,1.0
356.0,10.0,10.0,1.0,0,1.0
357.0,10.0,10.0,1.0,0,1.0
358.0,10.0,10.0,1.0,0,1.0
359.0,10.0,10.0,1.0,0,1.0
360.0,10.0,10.0,1.0,0,1.0
361.0,10.0,10.0,1.0,0,1.0
362.0,10.0,10.0,1.0,0,1.0
363.0,10.0,10.0,1.0,0,1.0
364.0,10.0,10.0,1.0,0,1.0
365.0,10.0,10.0,1.0,0,1.0
366.0,10.0,10.0,1.0,0,1.0
367.0,10.0,10.0,1.0,0,1.0
368.0,10.0,10.0,1.0,0,1.0
369.0,10.0,10.0,1.0,0,1.0
370.0,10.0,10.0,1.0,0,1.0
371.0,10.0,10.0,1.0,0,1.0
372.0,10.0,10.0,1.0,0,1.0
373.0,10.0,10.0,1.0,0,1.0
374.0,10.0,10.0,1.0,0,1.0
375.0,10.0,10.0,1.0,0,1.0
376.0,10.0,10.0,1.0,0,1.0
377.0,10.0,10.0,1.0,0,1.0
378.0,10.0,10.0,1.0,0,1.0
379.0,10.0,10.0,1.0,0,1.0
380.0,10.0,10.0,1.0,0,1.0
381.0,10.0,10.0,1.0,0,1.0
382.0,10.0,10.0,1.0,0,1.0
383.0,10.0,10.0,1.0,0,1.0
384.0,10.0,10.0,1.0,0,1.0
385.0,10.0,10.0,1.0,0,1.0
386.0,10.0,10.0,1.0,0,1.0
387.0,10.0,10.0,1.0,0,1.0
388.0,10.0,10.0,1.0,0,1.0
389.0,10.0,10.0,1.0,0,1.0
390.0,10.0,10.0,1.0,0,1.0
391.0,10.0,10.0,1.0,0,1.0
392.0,10.0,10.0,1.0,0,1.0
393.0,10.0,10.0,1.0,0,1.0
394.0,10.0,10.0,1.0,0,1.0
395.0,10.0,10.0,1.0,0,1.0
396.0,10.0,10.0,1.0,0,1.0
397.0,10.0,10.0,1.0,0,1.0
398.0,10.0,10.0,1.0,0,1.0
399.0,10.0,10.0,1.0,0,1.0
400.0,10.0,10.0,1.0,0,1.0
