target_power_mw,head_m,total_flow_m3s,overall_efficiency,turbine_1_power_mw,turbine_2_power_mw,turbine_3_power_mw,turbine_4_power_mw,turbine_5_power_mw,turbine_6_power_mw
43,10.0,496.2300759719317,0.8833165455254818,9.497237383945876,10.508597665017163,0.0,11.529793422463976,0.0,11.464371528572984
44,10.0,506.99615028778135,0.8846653296227879,9.720702268706589,10.753201185826304,0.0,11.7957418431327,0.0,11.730354702334402
45,10.0,518.255395612055,0.8851149456698587,9.944059033469303,10.997744659625614,0.0,12.06104428275348,0.0,11.997152024151601
46,10.0,529.9051037143984,0.8848929232081008,0.0,11.119075209574317,0.0,12.193027133864394,10.557721685742361,12.130175970818927
47,10.0,541.9633609688661,0.8840135527071157,0.0,11.360846246679566,0.0,12.455472276530239,10.789770222793178,12.393911253997018
48,10.0,554.5978864071735,0.8822547796844581,0.0,11.602637128710347,0.0,12.717838080724043,11.02191857277318,12.657606217792434
49,10.0,567.8500311484556,0.8796166040422273,0.0,11.844460875841362,0.0,12.980046249088119,11.254173626919595,12.921319248150922
50,10.0,581.3713917592656,0.8766925981345467,9.407108531943909,10.410038408715852,8.882140762192234,11.423209553715212,9.877502743432794,0.0
51,10.0,591.9114857172882,0.8783030712961789,9.596228332430739,10.617057009048455,9.062684235422445,11.647948905436596,10.076081517661763,0.0
52,10.0,602.5594902977709,0.879699621853902,9.503163268245109,10.514665991277624,8.97422522510318,11.537173157624691,0.0,11.470772357749397
53,10.0,613.0010038737626,0.8813444550070236,9.502350571478253,10.514096975700644,0.0,11.536249361959765,9.977369409036642,11.469933681824692
54,10.0,623.7321750290031,0.8825241628279547,9.68323853267755,10.712140785872966,0.0,11.75129976314072,10.167278665840273,11.686042252468491
55,10.0,634.8584389641734,0.8831140315777068,9.864136903194197,10.910172588364201,0.0,11.966350353484351,10.357185974540974,11.902154180416277
56,10.0,646.4012978408853,0.8831140614042329,10.045046673564242,11.108188940451697,0.0,12.181402128032774,10.547089099603376,12.11827315834791
57,10.0,658.3838956641441,0.8825242524584516,10.225983215812741,11.306181658370377,0.0,12.39644384815611,10.736995990541665,12.334395287119108
58,10.0,670.8311725397649,0.8813446057250506,10.407016950092425,11.504354538367371,0.0,12.610935435537156,10.927381607392345,12.550311468610701
59,10.0,683.7700401384371,0.8795751201190639,10.587984034236865,11.702390813086247,0.0,12.825861429395918,11.117399139858145,12.766364583422824
60,10.0,697.2295730757509,0.8772157962390154,10.768956657710369,11.900426609197437,0.0,13.04075663597804,11.307430150178954,12.982429946935204
61,10.0,708.9393710622596,0.877105293353606,9.352356891763188,10.349993775371914,8.829676610306183,11.357751817211591,9.819465623962422,11.2907552813847
62,10.0,719.3306493928376,0.8786059032482368,9.506677327665201,10.518898290004076,8.97695224698389,11.541085521211295,9.981403133685559,11.47498348044998
63,10.0,730.0421246750575,0.8796777790709406,9.661006397026162,10.687794399465856,9.124237845846455,11.724400615060857,10.143344216337443,11.65921652626323
64,10.0,741.0882772607583,0.8803209210004611,9.815351648786585,10.856685314018701,9.271534075570262,11.907697024781205,10.305281515570064,11.843450421273186
65,10.0,752.4845088138493,0.8805353292172539,9.969710867111882,11.025571659959635,9.418840937261251,12.090994514759181,10.4672154457879,12.027666575120152
66,10.0,764.2472132589583,0.880321004703187,10.123559642724164,11.194147891628305,9.566273398249965,12.274235502350146,10.630071458810642,12.211712106236781
67,10.0,776.3938583167959,0.8796779459549887,10.277774508162947,11.362969902850764,9.713652859371933,12.457463852814357,10.792303040738535,12.395835836061464
68,10.0,788.9430670303223,0.8786061547683222,10.43235250123186,11.531958226879242,9.860925948455751,12.640743171327738,10.953879063992433,12.580141088112978
69,10.0,801.9147183730917,0.8771056301349089,10.58664794918604,11.700816261413516,10.008273960749635,12.824004881780708,11.115906061125406,12.7643508857447
70,10.0,815.3300484570035,0.8751763726136835,10.740921042808361,11.869666081078346,10.155631688957337,13.007284980258973,11.277928256171013,12.94856795072597
71,10.0,829.211768311414,0.8728183823100085,10.89517840677391,12.038506692387077,10.30300722366592,13.190565167830684,11.43994015070009,13.132802358642317
72,10.0,843.5841919928835,0.8700316590743227,11.049527723595332,12.20735394660794,10.450414792320899,13.373648046940557,11.602125308599659,13.316930181935618
73,10.0,858.47337752094,0.8668162036611786,11.20365765491944,12.376214634722805,10.597721330991975,13.557252156229476,11.763831447073393,13.501322776062914
74,10.0,873.9072867719601,0.8631720153652628,11.357993296951744,12.545127563811462,10.744918403251,13.74050692839606,11.925851435525875,13.685602372063856
