time,real_reservoir.inflow,real_reservoir.outflow,real_reservoir.volume,real_reservoir.water_level,real_valve.discharge_coefficient,real_valve.opening,real_valve.outflow,twin_reservoir.inflow,twin_reservoir.outflow,twin_reservoir.volume,twin_reservoir.water_level,twin_valve.discharge_coefficient,twin_valve.opening,twin_valve.outflow
72.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.569773397134266,10.0,0.5058450228248877,100.0,0.9839757068885726
73.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.385797690245695,10.0,0.5058450228248877,100.0,0.9839757068885726
74.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.201821983357124,10.0,0.5058450228248877,100.0,0.9839757068885726
75.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.017846276468553,10.0,0.5058450228248877,100.0,0.9839757068885726
76.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,20.833870569579982,10.0,0.5058450228248877,100.0,0.9839757068885726
77.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,20.64989486269141,10.0,0.5058450228248877,100.0,0.9839757068885726
78.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,20.46591915580284,10.0,0.5058450228248877,100.0,0.9839757068885726
79.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,20.28194344891427,10.0,0.5058450228248877,100.0,0.9839757068885726
80.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,20.0979677420257,10.0,0.5058450228248877,100.0,0.9839757068885726
81.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,19.913992035137127,10.0,0.5058450228248877,100.0,0.9839757068885726
82.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,19.730016328248556,10.0,0.5058450228248877,100.0,0.9839757068885726
83.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,19.546040621359985,10.0,0.5058450228248877,100.0,0.9839757068885726
84.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,19.362064914471414,10.0,0.5058450228248877,100.0,0.9839757068885726
85.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,19.178089207582843,10.0,0.5058450228248877,100.0,0.9839757068885726
86.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.994113500694272,10.0,0.5058450228248877,100.0,0.9839757068885726
87.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.8101377938057,10.0,0.5058450228248877,100.0,0.9839757068885726
88.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.62616208691713,10.0,0.5058450228248877,100.0,0.9839757068885726
89.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.44218638002856,10.0,0.5058450228248877,100.0,0.9839757068885726
90.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.25821067313999,10.0,0.5058450228248877,100.0,0.9839757068885726
91.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,18.074234966251417,10.0,0.5058450228248877,100.0,0.9839757068885726
92.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,17.890259259362846,10.0,0.5058450228248877,100.0,0.9839757068885726
93.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,17.706283552474275,10.0,0.5058450228248877,100.0,0.9839757068885726
94.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,17.522307845585704,10.0,0.5058450228248877,100.0,0.9839757068885726
95.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,17.338332138697133,10.0,0.5058450228248877,100.0,0.9839757068885726
96.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,17.154356431808562,10.0,0.5058450228248877,100.0,0.9839757068885726
97.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,16.97038072491999,10.0,0.5058450228248877,100.0,0.9839757068885726
98.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,16.78640501803142,10.0,0.5058450228248877,100.0,0.9839757068885726
99.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,16.60242931114285,10.0,0.35777087639996646,100.0,0.9839757068885726
100.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,17.618453604254277,10.0,0.35777087639996646,100.0,0.9839757068885726
101.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,18.634477897365706,10.0,0.35777087639996646,100.0,0.9839757068885726
102.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,19.650502190477134,10.0,0.35777087639996646,100.0,0.9839757068885726
103.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,20.666526483588562,10.0,0.35777087639996646,100.0,0.9839757068885726
104.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,21.68255077669999,10.0,0.35777087639996646,100.0,0.9839757068885726
105.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,22.69857506981142,10.0,0.35777087639996646,100.0,0.9839757068885726
106.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,23.714599362922847,10.0,0.35777087639996646,100.0,0.9839757068885726
107.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,24.730623656034275,10.0,0.35777087639996646,100.0,0.9839757068885726
108.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,25.746647949145704,10.0,0.35777087639996646,100.0,0.9839757068885726
109.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,26.762672242257132,10.0,0.35777087639996646,100.0,0.9839757068885726
110.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,27.77869653536856,10.0,0.35777087639996646,100.0,0.9839757068885726
111.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,28.79472082847999,10.0,0.35777087639996646,100.0,0.9839757068885726
112.0,2.0,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,2.0,0.9839757068885726,29.810745121591417,10.0,0.35777087639996646,100.0,0.9839757068885726
